label_id,name
1,Planet E
2,Earthtones Recordings
3,Seasons Recordings
4,Siesta Music
5,Svek
6,Ruffhouse Records
7,F-111 Records
8,Rather Interesting
9,Deep4Life
10,Naked Music Recordings
12,Large Records
13,Glasgow Underground
14,F Communications
15,20:20 Vision
16,Sepia
18,Soma Quality Recordings
19,Track Mode
20,Moody Recordings
21,Drop Music
22,Dope Dragon
23,Grayhound Recordings
24,Immigrant
25,Mixer
26,Intrinsic Design
27,Leaf Recordings
28,Deep Vision Records
29,Recline
30,Palette Recordings
31,Mosaic
32,Worship Recordings
34,Statra Recordings
35,Ovum Recordings
36,End Recordings
37,Zebra Recordings
38,Metro Trax Records
39,i! Records
40,Loaded Records
41,Fathom
42,Viva!
43,Axis
44,Nordic Trax
45,Groovin' Records
46,Purpose Maker
47,IntelliNET
48,Wave Music
49,Cytrax
50,Fair Park
51,Electrik Soul
52,Low Pressings
53,Camouflage Recordings
54,Cross Section Records
55,Transport Recordings
56,Rising High Records
57,Distance
58,A13
59,Tresor
60,Fax +49-69/450464
61,Instinct Ambient
62,Eukahouse
63,Instinct Records
64,Ritual Recordings
65,Airtight
66,Pagan
67,MAW Records
68,Residual Recordings
69,Yoshitoshi Recordings
70,7th City
71,Kool Groove Records
72,Dufflebag Recordings
73,Ferox Records
74,Pschent
75,Tweekin Records
76,Kaos Records
77,Elypsia
78,Obsession Music
79,V2 Records Inc.
80,Lumi Records
81,Mother Tongue
82,83 West Records
83,SuperBra
84,Strive
85,Earth
86,Compost Records
87,Freerange Records
88,Nite Grooves
89,Under The Counter
91,Panhandle Records
92,Taka
93,Alola
94,Fiji Recordings
95,Guidance Recordings
96,Stickman Records
97,Moods & Grooves
98,Defected
99,Swayzak Recordings
100,Distant Music
101,Shaboom Records
102,Spymania
104,Nothings Clear
105,Skam
