release_id,artist_id
1,1
2,2
4,21
6,2
7,28
8,29
9,33
11,33
12,30
14,50
16,52
18,79947
19,55
20,53
22,57
23,58
24,59
25,59
26,55
27,55
28,60
30,62
31,55
35,63
36,64
37,73
38,60
40,34
41,92
41,17757
43,33257
43,3482
45,95
46,96
46,95
47,97
48,12007
48,583687
49,98
52,96
54,645
54,5823
56,137
57,79947
58,148
59,4771692
60,25
61,4771613
62,153
64,158
66,62
68,163
69,60
71,164
73,166
74,168
75,158
76,174
78,92
79,1
81,60
83,62
85,174
86,37282
88,33
89,179
90,181
90,5366
91,182
92,183
93,184
95,1104
95,2635
96,20080
96,107031
97,191
98,62
99,61
101,1
103,194
105,199
105,47043
107,202
108,203
110,205
111,205
112,206
114,183
116,208
117,209
119,211
120,110
121,215
123,67226
123,3219
125,223
125,9678
127,185
127,1911
129,182
