release_id,format_type
1,Vinyl
2,Vinyl
4,CD
6,Vinyl
7,Vinyl
8,Vinyl
9,Vinyl
11,Vinyl
12,Vinyl
14,Vinyl
16,Vinyl
18,Vinyl
19,Vinyl
20,Vinyl
22,Vinyl
23,Vinyl
24,Vinyl
25,Vinyl
26,Vinyl
27,Vinyl
28,Vinyl
30,Vinyl
31,Vinyl
35,Vinyl
36,CD
37,CD
38,Vinyl
40,Vinyl
41,Vinyl
43,Vinyl
45,Vinyl
46,Vinyl
47,Vinyl
48,CD
49,CD
52,Vinyl
54,Vinyl
56,CD
57,Vinyl
58,Vinyl
59,CD
60,CD
61,CD
62,Vinyl
64,Vinyl
66,Vinyl
68,Vinyl
69,Vinyl
71,Vinyl
73,Vinyl
74,Vinyl
75,Vinyl
76,Vinyl
78,Vinyl
79,Vinyl
81,Vinyl
83,Vinyl
85,Vinyl
86,Vinyl
88,Vinyl
89,Vinyl
90,Vinyl
91,Vinyl
92,Vinyl
93,Vinyl
95,Vinyl
96,Vinyl
97,Vinyl
98,Vinyl
99,Vinyl
101,Vinyl
103,Vinyl
105,Vinyl
107,Vinyl
108,Vinyl
110,Vinyl
111,Vinyl
112,Vinyl
114,Vinyl
116,Vinyl
117,Vinyl
119,Vinyl
120,Vinyl
121,Vinyl
123,Vinyl
125,Vinyl
127,Vinyl
129,Vinyl
130,Vinyl
131,Vinyl
133,Vinyl
135,Vinyl
136,Vinyl
137,Vinyl
138,Vinyl
139,Vinyl
140,Vinyl
141,Vinyl
142,Vinyl
144,Vinyl
