artist_credit,position,artist,name,join_phrase
578352,0,578352,Gustav Ruppke,
273232,0,273232,Zachary,
153193,0,153193,The High Level Ranters,
32262,0,32262,Georges Brassens,
1389968,0,1171184,Harvard of the South,
145773,0,145773,Aric Leavitt,
1258383,0,1075202,Delfino Square,
1391536,3,208598,Karl Ratzer, & 
220155,0,220155,Love .45,
30394,0,30394,raison d'être,
140751,0,140751,Sprites,
578364,0,578364,Machin,
618464,0,618464,Sintellect,
285714,0,285714,Evie Tamala,
413616,0,413616,Wieland Samolak,
1156350,0,997907,John Nauman,
209107,0,209107,Deejay One,
388372,0,388372,wecamewithbrokenteeth,
726151,0,726151,The Blackbelt Band,
99188,0,99188,Toni Holgersson,
257788,0,257788,Tommy Engel,
152659,0,152659,Giant Tomo,
155757,0,155757,Decoding Jesus,
228311,0,228311,Elvin Jones & Jimmy Garrison Sextet,
155759,0,155759,DJ Matthew Grim,
155785,0,155785,Rezerwat,
407238,0,407238,Infester,
108345,0,108345,Susan Enan,
876468,0,835675,Mhoo,
421011,0,421011,DJ Iglu & Hartly Dark,
6209,0,6209,Mississippi Sheiks,
156712,0,156712,Teresa Catalán,
56188,0,56188,George Gao,
1259299,0,1075859,Aivovuoto, feat. 
250717,0,250717,Gülseren,
38330,0,38330,Eberhard Weber,
471075,0,471075,Seanews,
98827,0,98827,CyberDog,
368201,0,368201,Erhan Güleryüz,
208149,0,208149,Thirteen Over Eight,
346799,0,346799,McKaras,
99189,0,99189,Tore Berger,
305463,0,305463,The Insignificant,
140363,0,140363,House of Low Culture,
105006,0,105006,Starkid,
61555,0,61555,Choclair,
351358,0,351358,Project/Object,
768072,0,768072,Imagimusic,
98829,0,98829,Disappointment Incorporated,
99199,0,99199,Stereobate,
99200,0,99200,Champale,
221120,0,221120,FS,
99201,0,99201,Jumbo Jets,
99203,0,99203,Gloria Deluxe,
641904,0,641904,Dr. I-Bolit,
421012,0,421012,Q Text,
99207,0,99207,Blasco,
327753,0,327753,Flame,
435009,0,435009,Current,
507716,0,507716,We Barbarians,
98830,0,98830,Vertebrats,
99209,0,99209,Sandra Pires,
198909,0,198909,Peacemaker,
59164,0,59164,Snack,
519583,0,519583,Softys,
288762,0,288762,Talkshow Boy,
99205,0,99205,Timesbold,
100475,0,100475,Delma Lachney,
100476,0,100476,Screwtape,
100478,0,100478,John Bertrand,
471271,0,471271,Duo De Munck,
967499,0,515625,Alla Pavlova,
98833,0,98833,The Crawdaddys,
56810,0,56810,Mike 7,
512228,0,512228,Blake,
222919,0,154159,Cream VIII,
650352,0,650352,Greg Sczebel,
1391536,4,1170279,Sumitranunjudan,
192937,0,192937,Sling Ting,
100479,0,100479,Antonym,
98836,0,98836,The Unclaimed,
97870,0,97870,The Faith,
97873,0,97873,No Water,
122315,0,122315,Nodesha,
100480,0,100480,Creature Box,
56614,0,56614,Labrat,
56615,0,56615,Phluid,
569634,0,569634,Sebapola,
98838,0,98838,The Gravediggers V,
219212,0,219212,Baya,
100481,0,100481,Spacemaker,
97875,0,97875,4000,
100483,0,100483,Cofer Brothers,
56914,0,56914,Cloudboy,
98840,0,98840,Time Beings,
56526,0,56526,Laurie Klein,
879678,0,10291,Miroslav Donutil, & 
471294,0,471294,Hispana Hombres,
221263,0,221263,Brotherly,
156560,0,156560,Kak,
