id,name,parent,child_order,description,gid
1,Compilation,\N,0,\N,dd2a21e1-0c00-3729-a7a0-de60b84eb5d1
2,Soundtrack,\N,0,\N,22a628ad-c082-3c4f-b1b6-d41665107b88
3,Spokenword,\N,0,\N,66b8a13e-43ff-3ac0-ac6c-73659d3817c6
4,Interview,\N,0,\N,12af3f5e-ce2a-3941-8b93-d482884031e5
5,Audiobook,\N,0,\N,499a387e-6195-333e-91c0-9592bfec535e
6,Live,\N,0,\N,6fd474e2-6b58-3102-9d17-d6f7eb7da0a0
7,Remix,\N,0,\N,0c60f497-ff81-3818-befd-abfc84a4858b
8,DJ-mix,\N,0,\N,0d47f47a-3fe5-3d69-ac9d-d566c23968bf
9,Mixtape/Street,\N,0,\N,15c1b1f5-d893-3375-a1db-e180c5ae15ed
10,Demo,\N,0,\N,81598169-0d6c-3bce-b4be-866fa658eda3
