release_group,secondary_type,created
2,1,2012-05-15 00:00:00+00
21,1,2012-05-15 00:00:00+00
24,1,2012-05-15 00:00:00+00
1041275,1,2012-05-15 00:00:00+00
142,6,2012-05-15 00:00:00+00
118507,6,2012-05-15 00:00:00+00
441842,2,2012-05-15 00:00:00+00
579596,1,2012-05-15 00:00:00+00
794787,1,2012-05-15 00:00:00+00
465,1,2012-05-15 00:00:00+00
467,1,2012-05-15 00:00:00+00
468,1,2012-05-15 00:00:00+00
470,1,2012-05-15 00:00:00+00
471,1,2012-05-15 00:00:00+00
476,1,2012-05-15 00:00:00+00
477,1,2012-05-15 00:00:00+00
482,1,2012-05-15 00:00:00+00
485,6,2012-05-15 00:00:00+00
486,1,2012-05-15 00:00:00+00
640819,1,2012-05-15 00:00:00+00
242190,6,2012-05-15 00:00:00+00
105256,2,2012-05-15 00:00:00+00
1516,6,2012-05-15 00:00:00+00
602313,1,2012-05-15 00:00:00+00
1809,2,2012-05-15 00:00:00+00
1992,1,2012-05-15 00:00:00+00
1928,1,2012-05-15 00:00:00+00
447769,1,2012-05-15 00:00:00+00
1200011,2,2012-05-15 00:00:00+00
2086,1,2012-05-15 00:00:00+00
1066902,1,2012-05-15 00:00:00+00
2283,1,2012-05-15 00:00:00+00
2300,2,2012-05-15 00:00:00+00
170004,1,2012-05-15 00:00:00+00
2526,1,2012-05-15 00:00:00+00
2700,1,2012-05-15 00:00:00+00
2702,1,2012-05-15 00:00:00+00
2858,6,2012-05-15 00:00:00+00
2953,1,2012-05-15 00:00:00+00
629407,2,2012-05-15 00:00:00+00
3175,6,2012-05-15 00:00:00+00
3543,1,2012-05-15 00:00:00+00
3658,1,2012-05-15 00:00:00+00
3665,1,2012-05-15 00:00:00+00
3685,2,2012-05-15 00:00:00+00
3707,2,2012-05-15 00:00:00+00
1200040,1,2012-05-15 00:00:00+00
173416,1,2012-05-15 00:00:00+00
3757,1,2012-05-15 00:00:00+00
3776,1,2012-05-15 00:00:00+00
3856,6,2012-05-15 00:00:00+00
3859,6,2012-05-15 00:00:00+00
3877,6,2012-05-15 00:00:00+00
1200046,1,2012-05-15 00:00:00+00
3925,6,2012-05-15 00:00:00+00
3999,1,2012-05-15 00:00:00+00
772964,2,2012-05-15 00:00:00+00
1008667,1,2012-05-15 00:00:00+00
4273,1,2012-05-15 00:00:00+00
4328,7,2012-05-15 00:00:00+00
4430,2,2012-05-15 00:00:00+00
4461,1,2012-05-15 00:00:00+00
387075,1,2012-05-15 00:00:00+00
1107438,5,2012-05-15 00:00:00+00
4645,1,2012-05-15 00:00:00+00
845903,6,2012-05-15 00:00:00+00
4670,1,2012-05-15 00:00:00+00
1153287,2,2012-05-15 00:00:00+00
1270124,6,2012-05-15 00:00:00+00
5246,1,2012-05-15 00:00:00+00
5298,1,2012-05-15 00:00:00+00
5119,2,2012-05-15 00:00:00+00
5376,7,2012-05-15 00:00:00+00
1376999,1,2014-05-14 17:43:10.686243+00
5411,1,2012-05-15 00:00:00+00
5417,1,2012-05-15 00:00:00+00
5419,1,2012-05-15 00:00:00+00
5425,1,2012-05-15 00:00:00+00
5426,1,2012-05-15 00:00:00+00
1027716,6,2012-05-15 00:00:00+00
5457,6,2012-05-15 00:00:00+00
5497,6,2012-05-15 00:00:00+00
5555,4,2012-05-15 00:00:00+00
5570,1,2012-05-15 00:00:00+00
5588,2,2012-05-15 00:00:00+00
5590,4,2012-05-15 00:00:00+00
5626,6,2012-05-15 00:00:00+00
5685,1,2012-05-15 00:00:00+00
5725,6,2012-05-15 00:00:00+00
5794,4,2012-05-15 00:00:00+00
5798,6,2012-05-15 00:00:00+00
5799,1,2012-05-15 00:00:00+00
1022174,1,2012-05-15 00:00:00+00
5818,1,2012-05-15 00:00:00+00
5856,4,2012-05-15 00:00:00+00
1377008,10,2014-05-14 18:34:59.759609+00
5871,1,2012-05-15 00:00:00+00
989885,1,2012-05-15 00:00:00+00
5899,6,2012-05-15 00:00:00+00
271937,6,2012-05-15 00:00:00+00
